id,parent_id,name,slug,description,icon_emoji,service_count,is_popular,display_order,created_at
coding-lesson,online-lessons,코딩 레슨,coding-lesson,,,0,true,4,2025-10-24 05:42:09.720473+00
college-consulting,admission-prep,대입 컨설팅,college-consulting,,,0,false,0,2025-10-24 05:42:09.720473+00
community-site-banner,marketing-etc,커뮤니티·사이트 배너,community-site-banner,,,0,false,1,2025-10-24 05:42:09.720473+00
complete-program-store,program,완성형 프로그램 스토어,complete-program-store,,,0,false,0,2025-10-24 05:42:09.720473+00
computer-graphics,video-photo,컴퓨터 그래픽(CG),computer-graphics,,,0,false,1,2025-10-24 05:42:09.720473+00
computer-tech-support,it-etc,컴퓨터 기술지원,computer-tech-support,,,0,false,1,2025-10-24 05:42:09.720473+00
consecutive-interpretation,interpretation,순차통역,consecutive-interpretation,,,0,false,5,2025-10-24 05:42:09.720473+00
consulting,business,컨설팅,consulting,,,0,false,4,2025-10-24 05:42:09.720473+00
content-seo,seo-optimization,콘텐츠 SEO,content-seo,,,0,true,1,2025-10-24 05:42:09.720473+00
content-writing,writing,콘텐츠 글쓰기,content-writing,,,0,false,0,2025-10-24 05:42:09.720473+00
contract-drafting,legal-services,계약서 작성,contract-drafting,,,0,false,2,2025-10-24 05:42:09.720473+00
contract-review,legal-service,계약서 검토,contract-review,,,0,false,3,2025-10-24 05:42:09.720473+00
cooking-lesson,online-lessons,요리 레슨,cooking-lesson,,,0,false,3,2025-10-24 05:42:09.720473+00
corporate-consulting,business,기업 자문,corporate-consulting,,,0,false,1,2025-10-24 05:42:09.720473+00
corporate-event,event-planning,기업 행사,corporate-event,,,0,false,2,2025-10-24 05:42:09.720473+00
cosmetics-startup,industry-startup,화장품 창업,cosmetics-startup,,,0,false,5,2025-10-24 05:42:09.720473+00
counseling-coaching,,상담/코칭,counseling-coaching,전문적인 상담과 코칭,bullseye,14,false,15,2025-10-24 05:42:09.720473+00
crawling-scraping,program,크롤링·스크래핑,crawling-scraping,,,0,false,3,2025-10-24 05:42:09.720473+00
creative-writing,writing,창작 글쓰기,creative-writing,,,0,false,8,2025-10-24 05:42:09.720473+00
custom-chatbot-gpt,ai-development,맞춤형 챗봇·GPT,custom-chatbot-gpt,,,0,false,0,2025-10-24 05:42:09.720473+00
